DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,-0.5,50000,1,1080000,99999,20,100,50,2,300,2,0.5,5,-100,0.1,0.75,20,4,FALSE,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M5_R6_O9_A2_TR1_T1_20250412-011854/save-04.12.2025_01.18.54/final_model.zip,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250410-011939_TEST_WITH_ADOPTED_MAZES
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,,
724,kein_Terminated,Zeit abgelaufen,0.57,6,6926,300.5,5,9,20250415-031754,,,,,,,,,,,,,,,,,,,
725,kein_Terminated,Zeit abgelaufen,0.48,22,4094,300.5,5,6,20250415-031809,,,,,,,,,,,,,,,,,,,
726,kein_Terminated,Zeit abgelaufen,0.42,90,-3453,300.5,5,6,20250415-031823,,,,,,,,,,,,,,,,,,,
727,kein_Terminated,Zeit abgelaufen,0.62,11,7030.25,300.5,5,1,20250415-031838,,,,,,,,,,,,,,,,,,,
728,kein_Terminated,Zeit abgelaufen,0.33,16,2762.5,300.5,8,2,20250415-031852,,,,,,,,,,,,,,,,,,,
729,kein_Terminated,Zeit abgelaufen,0.48,202,-14141,300.5,8,2,20250415-031907,,,,,,,,,,,,,,,,,,,
730,kein_Terminated,Zeit abgelaufen,0.4,56,-403.5,300.5,8,8,20250415-031921,,,,,,,,,,,,,,,,,,,
731,kein_Terminated,Zeit abgelaufen,0.52,67,-35.75,300.5,8,8,20250415-031935,,,,,,,,,,,,,,,,,,,
732,kein_Terminated,Zeit abgelaufen,0.54,26,4467,300.5,8,3,20250415-031950,,,,,,,,,,,,,,,,,,,
733,kein_Terminated,Zeit abgelaufen,0.52,149,-8297.25,300.5,8,3,20250415-032004,,,,,,,,,,,,,,,,,,,
734,kein_Terminated,Zeit abgelaufen,0.34,79,-3524.75,300.5,8,7,20250415-032019,,,,,,,,,,,,,,,,,,,
735,kein_Terminated,Zeit abgelaufen,0.27,70,-3574,300.5,15,6,20250415-032034,,,,,,,,,,,,,,,,,,,
736,kein_Terminated,Zeit abgelaufen,0.35,82,-3630.25,300.5,15,6,20250415-032049,,,,,,,,,,,,,,,,,,,
737,kein_Terminated,Zeit abgelaufen,0.2,6,2042,300.5,15,4,20250415-032105,,,,,,,,,,,,,,,,,,,
738,kein_Terminated,Zeit abgelaufen,0.24,42,-1113,300.5,15,4,20250415-032121,,,,,,,,,,,,,,,,,,,
739,kein_Terminated,Zeit abgelaufen,0.14,44,-2642.5,300.5,15,5,20250415-032136,,,,,,,,,,,,,,,,,,,
740,kein_Terminated,Zeit abgelaufen,0.14,201,-18464.25,300.5,15,5,20250415-032152,,,,,,,,,,,,,,,,,,,
741,kein_Terminated,Zeit abgelaufen,0.33,259,-21835.75,300.5,15,4,20250415-032207,,,,,,,,,,,,,,,,,,,
742,kein_Terminated,Zeit abgelaufen,0.56,12,5537.5,300.5,26,8,20250415-032225,,,,,,,,,,,,,,,,,,,
743,kein_Terminated,Zeit abgelaufen,0.57,20,4767.5,300.5,26,8,20250415-032244,,,,,,,,,,,,,,,,,,,
744,kein_Terminated,Zeit abgelaufen,0.58,19,5044.25,300.5,26,9,20250415-032303,,,,,,,,,,,,,,,,,,,
745,kein_Terminated,Zeit abgelaufen,0.33,13,2700.75,300.5,26,9,20250415-032322,,,,,,,,,,,,,,,,,,,
746,kein_Terminated,Zeit abgelaufen,0.51,41,2015.75,300.5,26,4,20250415-032340,,,,,,,,,,,,,,,,,,,
747,kein_Terminated,Zeit abgelaufen,0.49,2,5729,300.5,26,4,20250415-032359,,,,,,,,,,,,,,,,,,,
9,kein_Terminated,Zeit abgelaufen,0.02,175,-745,300.5,15,2,20250415-032425,,,,,,,,,,,,,,,,,,,
748,kein_Terminated,Zeit abgelaufen,0.3,8,2776.5,300.5,26,7,20250415-032432,,,,,,,,,,,,,,,,,,,
749,kein_Terminated,Zeit abgelaufen,0.39,292,-24360.5,300.5,15,5,20250415-032448,,,,,,,,,,,,,,,,,,,
750,kein_Terminated,Zeit abgelaufen,0.31,310,-27250,300.5,15,5,20250415-032503,,,,,,,,,,,,,,,,,,,
751,kein_Terminated,Zeit abgelaufen,0.29,70,-3278,300.5,15,5,20250415-032518,,,,,,,,,,,,,,,,,,,
752,kein_Terminated,Zeit abgelaufen,0.3,9,2983.75,300.5,15,5,20250415-032533,,,,,,,,,,,,,,,,,,,
753,kein_Terminated,Zeit abgelaufen,0.29,15,2167.25,300.5,15,6,20250415-032548,,,,,,,,,,,,,,,,,,,
754,kein_Terminated,Zeit abgelaufen,0.18,46,-2272,300.5,15,6,20250415-032603,,,,,,,,,,,,,,,,,,,
755,kein_Terminated,Zeit abgelaufen,0.27,101,-6649.25,300.5,15,4,20250415-032618,,,,,,,,,,,,,,,,,,,
756,kein_Terminated,Zeit abgelaufen,0.64,147,-6475.75,300.5,0,7,20250415-032632,,,,,,,,,,,,,,,,,,,
757,kein_Terminated,Zeit abgelaufen,0.34,15,2967.25,300.5,0,7,20250415-032646,,,,,,,,,,,,,,,,,,,
758,kein_Terminated,Zeit abgelaufen,0.57,16,5898.5,300.5,0,9,20250415-032700,,,,,,,,,,,,,,,,,,,
759,kein_Terminated,Zeit abgelaufen,0.62,126,-4592,300.5,0,9,20250415-032715,,,,,,,,,,,,,,,,,,,
760,kein_Terminated,Zeit abgelaufen,0.61,45,3404.75,300.5,0,8,20250415-032729,,,,,,,,,,,,,,,,,,,
761,kein_Terminated,Zeit abgelaufen,0.38,56,-619.5,300.5,0,8,20250415-032744,,,,,,,,,,,,,,,,,,,
762,kein_Terminated,Zeit abgelaufen,0.5,82,-1747,300.5,0,2,20250415-032758,,,,,,,,,,,,,,,,,,,
763,kein_Terminated,Zeit abgelaufen,0.56,31,4191.25,300.5,0,7,20250415-032813,,,,,,,,,,,,,,,,,,,
764,kein_Terminated,Zeit abgelaufen,0.58,98,-2219,300.5,0,7,20250415-032827,,,,,,,,,,,,,,,,,,,
765,kein_Terminated,Zeit abgelaufen,0.54,17,5349.75,300.5,0,7,20250415-032842,,,,,,,,,,,,,,,,,,,
766,kein_Terminated,Zeit abgelaufen,0.45,16,4314.5,300.5,0,7,20250415-032856,,,,,,,,,,,,,,,,,,,
767,kein_Terminated,Zeit abgelaufen,0.67,9,7807.75,300.5,0,7,20250415-032911,,,,,,,,,,,,,,,,,,,
768,kein_Terminated,Zeit abgelaufen,0.61,151,-7206.75,300.5,0,7,20250415-032925,,,,,,,,,,,,,,,,,,,
769,kein_Terminated,Zeit abgelaufen,0.38,219,-17025.75,300.5,0,6,20250415-032940,,,,,,,,,,,,,,,,,,,
770,kein_Terminated,Zeit abgelaufen,0.58,105,-3080.25,300.5,8,2,20250415-032954,,,,,,,,,,,,,,,,,,,
771,kein_Terminated,Zeit abgelaufen,0.55,30,4136,300.5,8,2,20250415-033009,,,,,,,,,,,,,,,,,,,
772,kein_Terminated,Zeit abgelaufen,0.57,27,4714.25,300.5,8,1,20250415-033024,,,,,,,,,,,,,,,,,,,
773,kein_Terminated,Zeit abgelaufen,0.42,114,-6031,300.5,8,1,20250415-033038,,,,,,,,,,,,,,,,,,,
774,kein_Terminated,Zeit abgelaufen,0.22,15,1351.25,300.5,8,4,20250415-033053,,,,,,,,,,,,,,,,,,,
775,kein_Terminated,Zeit abgelaufen,0.2,470,-44674,300.5,8,4,20250415-033107,,,,,,,,,,,,,,,,,,,
776,kein_Terminated,Zeit abgelaufen,0.33,27,1582.25,300.5,8,0,20250415-033122,,,,,,,,,,,,,,,,,,,
777,kein_Terminated,Zeit abgelaufen,0.51,31,3599.25,300.5,0,0,20250415-033136,,,,,,,,,,,,,,,,,,,
778,kein_Terminated,Zeit abgelaufen,0.38,116,-6684.5,300.5,0,0,20250415-033150,,,,,,,,,,,,,,,,,,,
779,kein_Terminated,Zeit abgelaufen,0.61,16,6362.5,300.5,0,6,20250415-033204,,,,,,,,,,,,,,,,,,,
780,kein_Terminated,Zeit abgelaufen,0.29,437,-40253.25,300.5,0,6,20250415-033218,,,,,,,,,,,,,,,,,,,
781,kein_Terminated,Zeit abgelaufen,0.54,92,-2138.5,300.5,0,0,20250415-033233,,,,,,,,,,,,,,,,,,,
782,kein_Terminated,Zeit abgelaufen,0.51,58,859,300.5,0,0,20250415-033247,,,,,,,,,,,,,,,,,,,
783,kein_Terminated,Zeit abgelaufen,0.51,107,-4141.75,300.5,0,0,20250415-033302,,,,,,,,,,,,,,,,,,,
784,kein_Terminated,Zeit abgelaufen,0.51,10,5659,300.5,8,5,20250415-033316,,,,,,,,,,,,,,,,,,,
785,kein_Terminated,Zeit abgelaufen,0.64,15,6815.25,300.5,8,5,20250415-033331,,,,,,,,,,,,,,,,,,,
786,kein_Terminated,Zeit abgelaufen,0.64,29,5444.75,300.5,8,2,20250415-033345,,,,,,,,,,,,,,,,,,,
787,kein_Terminated,Zeit abgelaufen,0.5,15,4935.25,300.5,8,2,20250415-033400,,,,,,,,,,,,,,,,,,,
788,kein_Terminated,Zeit abgelaufen,0.41,187,-13513.75,300.5,8,7,20250415-033415,,,,,,,,,,,,,,,,,,,
789,kein_Terminated,Zeit abgelaufen,0.37,19,2944.25,300.5,8,7,20250415-033430,,,,,,,,,,,,,,,,,,,
790,kein_Terminated,Zeit abgelaufen,0.37,103,-5490.75,300.5,8,3,20250415-033445,,,,,,,,,,,,,,,,,,,
791,kein_Terminated,Zeit abgelaufen,0.24,44,-1222.5,300.5,0,9,20250415-033459,,,,,,,,,,,,,,,,,,,
792,kein_Terminated,Zeit abgelaufen,0.36,295,-24962.75,300.5,0,9,20250415-033513,,,,,,,,,,,,,,,,,,,
793,kein_Terminated,Zeit abgelaufen,0.56,34,3913,300.5,0,9,20250415-033527,,,,,,,,,,,,,,,,,,,
794,kein_Terminated,Zeit abgelaufen,0.53,197,-12885.25,300.5,0,9,20250415-033542,,,,,,,,,,,,,,,,,,,
795,kein_Terminated,Zeit abgelaufen,0.39,81,-3074.25,300.5,0,9,20250415-033556,,,,,,,,,,,,,,,,,,,
796,kein_Terminated,Zeit abgelaufen,0.57,60,1469.5,300.5,0,9,20250415-033611,,,,,,,,,,,,,,,,,,,
797,kein_Terminated,Zeit abgelaufen,0.68,107,-1885.75,300.5,0,8,20250415-033625,,,,,,,,,,,,,,,,,,,
798,kein_Terminated,Zeit abgelaufen,0.44,34,2325,300.5,0,6,20250415-033640,,,,,,,,,,,,,,,,,,,
799,kein_Terminated,Zeit abgelaufen,0.26,465,-43462.25,300.5,0,6,20250415-033654,,,,,,,,,,,,,,,,,,,
800,kein_Terminated,Zeit abgelaufen,0.56,23,4993.25,300.5,0,9,20250415-033709,,,,,,,,,,,,,,,,,,,
801,kein_Terminated,Zeit abgelaufen,0.35,332,-28810.5,300.5,0,9,20250415-033723,,,,,,,,,,,,,,,,,,,
802,kein_Terminated,Zeit abgelaufen,0.35,280,-23595.5,300.5,0,6,20250415-033737,,,,,,,,,,,,,,,,,,,
803,kein_Terminated,Zeit abgelaufen,0.52,122,-5509,300.5,0,6,20250415-033752,,,,,,,,,,,,,,,,,,,
804,kein_Terminated,Zeit abgelaufen,0.4,14,3832,300.5,0,2,20250415-033806,,,,,,,,,,,,,,,,,,,
805,kein_Terminated,Zeit abgelaufen,0.38,7,3869.25,300.5,26,8,20250415-033824,,,,,,,,,,,,,,,,,,,
806,kein_Terminated,Zeit abgelaufen,0.17,192,-17237.5,300.5,26,8,20250415-033842,,,,,,,,,,,,,,,,,,,
807,kein_Terminated,Zeit abgelaufen,0.57,8,6052.5,300.5,26,0,20250415-033901,,,,,,,,,,,,,,,,,,,
808,kein_Terminated,Zeit abgelaufen,0.47,35,2132.25,300.5,26,0,20250415-033919,,,,,,,,,,,,,,,,,,,
809,kein_Terminated,Zeit abgelaufen,0.41,13,3608.75,300.5,26,4,20250415-033938,,,,,,,,,,,,,,,,,,,
810,kein_Terminated,Zeit abgelaufen,0.16,6,1394,300.5,26,4,20250415-033956,,,,,,,,,,,,,,,,,,,
811,kein_Terminated,Zeit abgelaufen,0.46,8,4660.5,300.5,26,6,20250415-034015,,,,,,,,,,,,,,,,,,,
812,kein_Terminated,Zeit abgelaufen,0.15,12,693.5,300.5,15,1,20250415-034029,,,,,,,,,,,,,,,,,,,
813,kein_Terminated,Zeit abgelaufen,0.07,268,-26058.5,300.5,15,1,20250415-034044,,,,,,,,,,,,,,,,,,,
814,kein_Terminated,Zeit abgelaufen,0.3,359,-32366.75,300.5,15,7,20250415-034059,,,,,,,,,,,,,,,,,,,
815,kein_Terminated,Zeit abgelaufen,0.18,10,1295,300.5,15,7,20250415-034115,,,,,,,,,,,,,,,,,,,
816,kein_Terminated,Zeit abgelaufen,0.3,13,2600.75,300.5,15,5,20250415-034130,,,,,,,,,,,,,,,,,,,
817,kein_Terminated,Zeit abgelaufen,0.27,15,1959.25,300.5,15,5,20250415-034144,,,,,,,,,,,,,,,,,,,
818,kein_Terminated,Zeit abgelaufen,0.39,232,-18403.5,300.5,15,3,20250415-034200,,,,,,,,,,,,,,,,,,,
819,kein_Terminated,Zeit abgelaufen,0.42,68,-1352.5,300.5,0,9,20250415-034214,,,,,,,,,,,,,,,,,,,
820,kein_Terminated,Zeit abgelaufen,0.56,79,-628.75,300.5,0,9,20250415-034229,,,,,,,,,,,,,,,,,,,
821,kein_Terminated,Zeit abgelaufen,0.37,384,-33781.5,300.5,0,6,20250415-034243,,,,,,,,,,,,,,,,,,,
822,kein_Terminated,Zeit abgelaufen,0.51,71,-438.75,300.5,0,6,20250415-034257,,,,,,,,,,,,,,,,,,,
823,kein_Terminated,Zeit abgelaufen,0.37,82,-3387,300.5,0,6,20250415-034311,,,,,,,,,,,,,,,,,,,
824,kein_Terminated,Zeit abgelaufen,0.44,288,-23209.5,300.5,0,6,20250415-034326,,,,,,,,,,,,,,,,,,,
825,kein_Terminated,Zeit abgelaufen,0.41,37,1674.75,300.5,0,2,20250415-034340,,,,,,,,,,,,,,,,,,,
826,kein_Terminated,Zeit abgelaufen,0.63,13,6972.75,300.5,0,2,20250415-034355,,,,,,,,,,,,,,,,,,,
827,kein_Terminated,Zeit abgelaufen,0.4,63,-1120.75,300.5,0,2,20250415-034409,,,,,,,,,,,,,,,,,,,
828,kein_Terminated,Zeit abgelaufen,0.5,45,2068.75,300.5,0,4,20250415-034423,,,,,,,,,,,,,,,,,,,
829,kein_Terminated,Zeit abgelaufen,0.4,125,-7395.25,300.5,0,4,20250415-034438,,,,,,,,,,,,,,,,,,,
830,kein_Terminated,Zeit abgelaufen,0.58,13,6236.75,300.5,0,7,20250415-034452,,,,,,,,,,,,,,,,,,,
10,kein_Terminated,Zeit abgelaufen,0.06,1,693.75,300.5,15,7,20250415-034520,,,,,,,,,,,,,,,,,,,
831,kein_Terminated,Zeit abgelaufen,0.48,204,-14306.5,300.5,0,7,20250415-034525,,,,,,,,,,,,,,,,,,,
832,kein_Terminated,Zeit abgelaufen,0.49,12,5173.5,300.5,0,5,20250415-034540,,,,,,,,,,,,,,,,,,,
833,kein_Terminated,Zeit abgelaufen,0.31,139,-9981.75,300.5,15,7,20250415-034555,,,,,,,,,,,,,,,,,,,
834,kein_Terminated,Zeit abgelaufen,0.35,232,-18859.5,300.5,15,7,20250415-034611,,,,,,,,,,,,,,,,,,,
835,kein_Terminated,Zeit abgelaufen,0.15,65,-4574.25,300.5,15,5,20250415-034626,,,,,,,,,,,,,,,,,,,
836,kein_Terminated,Zeit abgelaufen,0.38,133,-8577.25,300.5,15,5,20250415-034642,,,,,,,,,,,,,,,,,,,
837,kein_Terminated,Zeit abgelaufen,0.22,13,1512.75,300.5,15,8,20250415-034657,,,,,,,,,,,,,,,,,,,
838,kein_Terminated,Zeit abgelaufen,0.28,8,2848.5,300.5,15,8,20250415-034712,,,,,,,,,,,,,,,,,,,
839,kein_Terminated,Zeit abgelaufen,0.29,173,-13751.25,300.5,15,8,20250415-034728,,,,,,,,,,,,,,,,,,,
840,kein_Terminated,Zeit abgelaufen,0.5,65,1.75,300.5,5,4,20250415-034742,,,,,,,,,,,,,,,,,,,
841,kein_Terminated,Zeit abgelaufen,0.54,99,-2883.75,300.5,5,4,20250415-034757,,,,,,,,,,,,,,,,,,,
842,kein_Terminated,Zeit abgelaufen,0.64,59,2458.25,300.5,5,3,20250415-034811,,,,,,,,,,,,,,,,,,,
843,kein_Terminated,Zeit abgelaufen,0.62,107,-2637.75,300.5,5,3,20250415-034825,,,,,,,,,,,,,,,,,,,
844,kein_Terminated,Zeit abgelaufen,0.66,38,4846,300.5,5,4,20250415-034839,,,,,,,,,,,,,,,,,,,
845,kein_Terminated,Zeit abgelaufen,0.45,9,4999.75,300.5,5,4,20250415-034853,,,,,,,,,,,,,,,,,,,
846,kein_Terminated,Zeit abgelaufen,0.39,13,3840.75,300.5,5,9,20250415-034907,,,,,,,,,,,,,,,,,,,
847,kein_Terminated,Zeit abgelaufen,0.51,19,4192.25,300.5,26,8,20250415-034925,,,,,,,,,,,,,,,,,,,
848,kein_Terminated,Zeit abgelaufen,0.5,21,3818.75,300.5,26,8,20250415-034944,,,,,,,,,,,,,,,,,,,
849,kein_Terminated,Zeit abgelaufen,0.53,11,5274.25,300.5,26,7,20250415-035003,,,,,,,,,,,,,,,,,,,
850,kein_Terminated,Zeit abgelaufen,0.46,16,3866.5,300.5,26,7,20250415-035022,,,,,,,,,,,,,,,,,,,
851,kein_Terminated,Zeit abgelaufen,0.43,35,1688.25,300.5,26,5,20250415-035040,,,,,,,,,,,,,,,,,,,
852,kein_Terminated,Zeit abgelaufen,0.49,215,-15794.75,300.5,26,5,20250415-035059,,,,,,,,,,,,,,,,,,,
853,kein_Terminated,Zeit abgelaufen,0.35,14,2768,300.5,26,3,20250415-035117,,,,,,,,,,,,,,,,,,,
854,kein_Terminated,Zeit abgelaufen,0.42,7,4857.25,300.5,0,8,20250415-035131,,,,,,,,,,,,,,,,,,,
855,kein_Terminated,Zeit abgelaufen,0.46,21,3886.75,300.5,0,8,20250415-035146,,,,,,,,,,,,,,,,,,,
856,kein_Terminated,Zeit abgelaufen,0.49,137,-7356.25,300.5,0,6,20250415-035200,,,,,,,,,,,,,,,,,,,
857,kein_Terminated,Zeit abgelaufen,0.57,46,2772,300.5,0,6,20250415-035214,,,,,,,,,,,,,,,,,,,
858,kein_Terminated,Zeit abgelaufen,0.51,14,5228,300.5,0,4,20250415-035229,,,,,,,,,,,,,,,,,,,
859,kein_Terminated,Zeit abgelaufen,0.62,4,7755.5,300.5,0,4,20250415-035243,,,,,,,,,,,,,,,,,,,
860,kein_Terminated,Zeit abgelaufen,0.66,17,6949.75,300.5,0,7,20250415-035258,,,,,,,,,,,,,,,,,,,
861,kein_Terminated,Zeit abgelaufen,0.36,32,1546.5,300.5,5,9,20250415-035312,,,,,,,,,,,,,,,,,,,
862,kein_Terminated,Zeit abgelaufen,0.52,17,5169.75,300.5,5,9,20250415-035326,,,,,,,,,,,,,,,,,,,
863,kein_Terminated,Zeit abgelaufen,0.47,28,3365.5,300.5,5,0,20250415-035340,,,,,,,,,,,,,,,,,,,
864,kein_Terminated,Zeit abgelaufen,0.59,26,5199,300.5,5,0,20250415-035355,,,,,,,,,,,,,,,,,,,
865,kein_Terminated,Zeit abgelaufen,0.66,43,4334.25,300.5,5,4,20250415-035409,,,,,,,,,,,,,,,,,,,
866,kein_Terminated,Zeit abgelaufen,0.51,45,2136.75,300.5,5,4,20250415-035423,,,,,,,,,,,,,,,,,,,
867,kein_Terminated,Zeit abgelaufen,0.2,241,-21626.25,300.5,5,8,20250415-035438,,,,,,,,,,,,,,,,,,,
868,kein_Terminated,Zeit abgelaufen,0.27,157,-12315.25,300.5,15,0,20250415-035453,,,,,,,,,,,,,,,,,,,
869,kein_Terminated,Zeit abgelaufen,0.26,231,-19966.75,300.5,15,0,20250415-035508,,,,,,,,,,,,,,,,,,,
870,kein_Terminated,Zeit abgelaufen,0.21,21,590.75,300.5,15,7,20250415-035523,,,,,,,,,,,,,,,,,,,
871,kein_Terminated,Zeit abgelaufen,0.43,296,-24311.5,300.5,15,7,20250415-035539,,,,,,,,,,,,,,,,,,,
872,kein_Terminated,Zeit abgelaufen,0.14,116,-9832.5,300.5,15,8,20250415-035554,,,,,,,,,,,,,,,,,,,
873,kein_Terminated,Zeit abgelaufen,0.36,129,-8398.25,300.5,15,8,20250415-035610,,,,,,,,,,,,,,,,,,,
874,kein_Terminated,Zeit abgelaufen,0.19,429,-40743.25,300.5,15,0,20250415-035625,,,,,,,,,,,,,,,,,,,
875,kein_Terminated,Zeit abgelaufen,0.42,306,-25367,300.5,0,0,20250415-035639,,,,,,,,,,,,,,,,,,,
876,kein_Terminated,Zeit abgelaufen,0.46,166,-10662,300.5,0,0,20250415-035654,,,,,,,,,,,,,,,,,,,
877,kein_Terminated,Zeit abgelaufen,0.42,36,1971.5,300.5,0,1,20250415-035708,,,,,,,,,,,,,,,,,,,
878,kein_Terminated,Zeit abgelaufen,0.51,8,5880.5,300.5,0,1,20250415-035722,,,,,,,,,,,,,,,,,,,
879,kein_Terminated,Zeit abgelaufen,0.54,133,-6313.25,300.5,0,1,20250415-035737,,,,,,,,,,,,,,,,,,,
880,kein_Terminated,Zeit abgelaufen,0.56,5,6786.75,300.5,0,1,20250415-035751,,,,,,,,,,,,,,,,,,,
881,kein_Terminated,Zeit abgelaufen,0.48,14,4920,300.5,0,4,20250415-035806,,,,,,,,,,,,,,,,,,,
882,kein_Terminated,Zeit abgelaufen,0.21,24,112.5,300.5,26,1,20250415-035825,,,,,,,,,,,,,,,,,,,
883,kein_Terminated,Zeit abgelaufen,0.54,11,5338.25,300.5,26,1,20250415-035843,,,,,,,,,,,,,,,,,,,
884,kein_Terminated,Zeit abgelaufen,0.17,15,515.25,300.5,26,8,20250415-035901,,,,,,,,,,,,,,,,,,,
885,kein_Terminated,Zeit abgelaufen,0.36,18,2537,300.5,26,8,20250415-035920,,,,,,,,,,,,,,,,,,,
886,kein_Terminated,Zeit abgelaufen,0.66,5,7446.75,300.5,26,8,20250415-035938,,,,,,,,,,,,,,,,,,,
887,kein_Terminated,Zeit abgelaufen,0.36,15,2819.25,300.5,26,8,20250415-035957,,,,,,,,,,,,,,,,,,,
888,kein_Terminated,Zeit abgelaufen,0.61,39,3381.25,300.5,26,3,20250415-040016,,,,,,,,,,,,,,,,,,,
889,kein_Terminated,Zeit abgelaufen,0.51,106,-3949,300.5,5,6,20250415-040030,,,,,,,,,,,,,,,,,,,
890,kein_Terminated,Zeit abgelaufen,0.54,132,-6196.5,300.5,5,6,20250415-040045,,,,,,,,,,,,,,,,,,,
891,kein_Terminated,Zeit abgelaufen,0.4,116,-6404.5,300.5,5,2,20250415-040059,,,,,,,,,,,,,,,,,,,
892,kein_Terminated,Zeit abgelaufen,0.61,14,6580,300.5,5,2,20250415-040113,,,,,,,,,,,,,,,,,,,
893,kein_Terminated,Zeit abgelaufen,0.63,14,6932,300.5,5,8,20250415-040128,,,,,,,,,,,,,,,,,,,
894,kein_Terminated,Zeit abgelaufen,0.63,129,-4694.25,300.5,5,8,20250415-040142,,,,,,,,,,,,,,,,,,,
895,kein_Terminated,Zeit abgelaufen,0.5,4,6243.5,300.5,5,5,20250415-040156,,,,,,,,,,,,,,,,,,,
896,kein_Terminated,Zeit abgelaufen,0.33,47,-512.75,300.5,15,3,20250415-040212,,,,,,,,,,,,,,,,,,,
897,kein_Terminated,Zeit abgelaufen,0.23,272,-24397.5,300.5,15,3,20250415-040227,,,,,,,,,,,,,,,,,,,
898,kein_Terminated,Zeit abgelaufen,0.23,124,-9514.5,300.5,15,2,20250415-040241,,,,,,,,,,,,,,,,,,,
899,kein_Terminated,Zeit abgelaufen,0.15,321,-30362.25,300.5,15,2,20250415-040255,,,,,,,,,,,,,,,,,,,
900,kein_Terminated,Zeit abgelaufen,0.22,16,1270.5,300.5,15,4,20250415-040310,,,,,,,,,,,,,,,,,,,
901,kein_Terminated,Zeit abgelaufen,0.3,35,368.25,300.5,15,4,20250415-040326,,,,,,,,,,,,,,,,,,,
902,kein_Terminated,Zeit abgelaufen,0.08,218,-20877,300.5,15,1,20250415-040340,,,,,,,,,,,,,,,,,,,
903,kein_Terminated,Zeit abgelaufen,0.5,146,-8159,300.5,8,1,20250415-040354,,,,,,,,,,,,,,,,,,,
904,kein_Terminated,Zeit abgelaufen,0.38,9,4023.75,300.5,8,1,20250415-040408,,,,,,,,,,,,,,,,,,,
905,kein_Terminated,Zeit abgelaufen,0.56,116,-4400.5,300.5,8,1,20250415-040423,,,,,,,,,,,,,,,,,,,
906,kein_Terminated,Zeit abgelaufen,0.53,18,5109,300.5,8,1,20250415-040437,,,,,,,,,,,,,,,,,,,
907,kein_Terminated,Zeit abgelaufen,0.72,21,7238.75,300.5,8,8,20250415-040452,,,,,,,,,,,,,,,,,,,
908,kein_Terminated,Zeit abgelaufen,0.59,30,4612,300.5,8,8,20250415-040507,,,,,,,,,,,,,,,,,,,
909,kein_Terminated,Zeit abgelaufen,0.59,106,-3005,300.5,8,5,20250415-040521,,,,,,,,,,,,,,,,,,,
910,kein_Terminated,Zeit abgelaufen,0.55,17,4845.75,300.5,26,8,20250415-040540,,,,,,,,,,,,,,,,,,,
911,kein_Terminated,Zeit abgelaufen,0.36,16,2666.5,300.5,26,8,20250415-040558,,,,,,,,,,,,,,,,,,,
912,kein_Terminated,Zeit abgelaufen,0.56,14,5236,300.5,26,2,20250415-040617,,,,,,,,,,,,,,,,,,,
913,kein_Terminated,Zeit abgelaufen,0.37,11,3334.25,300.5,26,2,20250415-040636,,,,,,,,,,,,,,,,,,,
11,kein_Terminated,Zeit abgelaufen,0.26,396,-36430.5,300.5,5,3,20250415-040702,,,,,,,,,,,,,,,,,,,
914,kein_Terminated,Zeit abgelaufen,0.43,7,4449.25,300.5,26,6,20250415-040708,,,,,,,,,,,,,,,,,,,
915,kein_Terminated,Zeit abgelaufen,0.42,29,2080.75,300.5,26,6,20250415-040727,,,,,,,,,,,,,,,,,,,
916,kein_Terminated,Zeit abgelaufen,0.46,13,4220.75,300.5,26,0,20250415-040745,,,,,,,,,,,,,,,,,,,
917,kein_Terminated,Zeit abgelaufen,0.53,156,-8790.5,300.5,8,0,20250415-040800,,,,,,,,,,,,,,,,,,,
