DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,1080000,99999,100,100,50,2,300,2,0.5,5,-10,0.1,0,8,3,FALSE,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,False,SET_20250410-011939
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,
970,kein_Terminated,Zeit abgelaufen,0.65,54,7116,300.5,26,8,20250416-021014,,,,,,,,,,,,,,,,,,
971,kein_Terminated,Zeit abgelaufen,0.74,61,8130,300.5,26,8,20250416-021035,,,,,,,,,,,,,,,,,,
972,kein_Terminated,Zeit abgelaufen,0.73,57,7994,300.5,26,9,20250416-021056,,,,,,,,,,,,,,,,,,
973,kein_Terminated,Zeit abgelaufen,0.36,41,4118,300.5,0,4,20250416-021112,,,,,,,,,,,,,,,,,,
974,kein_Terminated,Zeit abgelaufen,0.67,59,8006,300.5,0,4,20250416-021128,,,,,,,,,,,,,,,,,,
975,kein_Terminated,Zeit abgelaufen,0.69,29,8526,300.5,0,0,20250416-021145,,,,,,,,,,,,,,,,,,
976,kein_Terminated,Zeit abgelaufen,0.66,24,8216,300.5,0,0,20250416-021201,,,,,,,,,,,,,,,,,,
977,kein_Terminated,Zeit abgelaufen,0.71,39,8706,300.5,0,4,20250416-021217,,,,,,,,,,,,,,,,,,
978,kein_Terminated,Zeit abgelaufen,0.66,30,8220,300.5,0,4,20250416-021234,,,,,,,,,,,,,,,,,,
979,kein_Terminated,Zeit abgelaufen,0.64,63,7562,300.5,0,5,20250416-021250,,,,,,,,,,,,,,,,,,
980,kein_Terminated,Zeit abgelaufen,0.67,48,8132,300.5,0,7,20250416-021306,,,,,,,,,,,,,,,,,,
981,kein_Terminated,Zeit abgelaufen,0.7,27,8758,300.5,0,7,20250416-021322,,,,,,,,,,,,,,,,,,
982,kein_Terminated,Zeit abgelaufen,0.7,45,8574,300.5,0,9,20250416-021339,,,,,,,,,,,,,,,,,,
983,kein_Terminated,Zeit abgelaufen,0.72,27,8934,300.5,0,9,20250416-021355,,,,,,,,,,,,,,,,,,
984,kein_Terminated,Zeit abgelaufen,0.66,23,8234,300.5,0,6,20250416-021412,,,,,,,,,,,,,,,,,,
985,kein_Terminated,Zeit abgelaufen,0.68,29,8398,300.5,0,6,20250416-021428,,,,,,,,,,,,,,,,,,
986,kein_Terminated,Zeit abgelaufen,0.68,22,8568,300.5,0,8,20250416-021444,,,,,,,,,,,,,,,,,,
987,kein_Terminated,Zeit abgelaufen,0.67,34,7508,300.5,26,3,20250416-021505,,,,,,,,,,,,,,,,,,
988,kein_Terminated,Zeit abgelaufen,0.71,36,7952,300.5,26,3,20250416-021526,,,,,,,,,,,,,,,,,,
989,kein_Terminated,Zeit abgelaufen,0.69,38,7668,300.5,26,3,20250416-021546,,,,,,,,,,,,,,,,,,
990,kein_Terminated,Zeit abgelaufen,0.7,23,7998,300.5,26,3,20250416-021607,,,,,,,,,,,,,,,,,,
991,kein_Terminated,Zeit abgelaufen,0.7,45,7778,300.5,26,4,20250416-021627,,,,,,,,,,,,,,,,,,
992,kein_Terminated,Zeit abgelaufen,0.68,31,7638,300.5,26,4,20250416-021648,,,,,,,,,,,,,,,,,,
993,kein_Terminated,Zeit abgelaufen,0.71,60,7720,300.5,26,7,20250416-021709,,,,,,,,,,,,,,,,,,
994,kein_Terminated,Zeit abgelaufen,0.51,61,5774,300.5,15,3,20250416-021726,,,,,,,,,,,,,,,,,,
995,kein_Terminated,Zeit abgelaufen,0.38,93,3770,300.5,15,3,20250416-021744,,,,,,,,,,,,,,,,,,
996,kein_Terminated,Zeit abgelaufen,0.72,70,8322,300.5,15,4,20250416-021801,,,,,,,,,,,,,,,,,,
12,kein_Terminated,Zeit abgelaufen,0.11,49,798,300.5,5,0,20250416-021826,,,,,,,,,,,,,,,,,,
997,kein_Terminated,Zeit abgelaufen,0.45,54,5076,300.5,15,4,20250416-021831,,,,,,,,,,,,,,,,,,
998,kein_Terminated,Zeit abgelaufen,0.65,45,7682,300.5,15,2,20250416-021848,,,,,,,,,,,,,,,,,,
999,kein_Terminated,Zeit abgelaufen,0.65,54,7560,300.5,15,2,20250416-021905,,,,,,,,,,,,,,,,,,
1000,kein_Terminated,Zeit abgelaufen,0.68,49,8094,300.5,15,3,20250416-021923,,,,,,,,,,,,,,,,,,
1001,kein_Terminated,Zeit abgelaufen,0.64,61,7594,300.5,8,0,20250416-021939,,,,,,,,,,,,,,,,,,
1002,kein_Terminated,Zeit abgelaufen,0.59,58,6940,300.5,8,0,20250416-021956,,,,,,,,,,,,,,,,,,
1003,kein_Terminated,Zeit abgelaufen,0.71,10,8988,300.5,8,6,20250416-022012,,,,,,,,,,,,,,,,,,
1004,kein_Terminated,Zeit abgelaufen,0.54,22,6712,300.5,8,6,20250416-022029,,,,,,,,,,,,,,,,,,
1005,kein_Terminated,Zeit abgelaufen,0.71,36,8672,300.5,8,3,20250416-022046,,,,,,,,,,,,,,,,,,
1006,kein_Terminated,Zeit abgelaufen,0.76,44,9220,300.5,8,3,20250416-022102,,,,,,,,,,,,,,,,,,
1007,kein_Terminated,Zeit abgelaufen,0.56,47,6602,300.5,8,8,20250416-022119,,,,,,,,,,,,,,,,,,
1008,kein_Terminated,Zeit abgelaufen,0.72,57,7890,300.5,26,1,20250416-022139,,,,,,,,,,,,,,,,,,
1009,kein_Terminated,Zeit abgelaufen,0.51,54,5408,300.5,26,1,20250416-022200,,,,,,,,,,,,,,,,,,
1010,kein_Terminated,Zeit abgelaufen,0.67,47,7446,300.5,26,2,20250416-022221,,,,,,,,,,,,,,,,,,
1011,kein_Terminated,Zeit abgelaufen,0.66,50,7204,300.5,26,2,20250416-022241,,,,,,,,,,,,,,,,,,
1012,kein_Terminated,Zeit abgelaufen,0.71,49,7790,300.5,26,3,20250416-022302,,,,,,,,,,,,,,,,,,
1013,kein_Terminated,Zeit abgelaufen,0.66,22,7544,300.5,26,3,20250416-022322,,,,,,,,,,,,,,,,,,
1014,kein_Terminated,Zeit abgelaufen,0.69,57,7518,300.5,26,2,20250416-022343,,,,,,,,,,,,,,,,,,
1015,kein_Terminated,Zeit abgelaufen,0.63,26,7148,300.5,26,5,20250416-022404,,,,,,,,,,,,,,,,,,
1016,kein_Terminated,Zeit abgelaufen,0.68,18,7820,300.5,26,5,20250416-022424,,,,,,,,,,,,,,,,,,
1017,kein_Terminated,Zeit abgelaufen,0.72,72,7700,300.5,26,8,20250416-022445,,,,,,,,,,,,,,,,,,
1018,kein_Terminated,Zeit abgelaufen,0.69,52,7524,300.5,26,8,20250416-022506,,,,,,,,,,,,,,,,,,
1019,kein_Terminated,Zeit abgelaufen,0.72,43,8014,300.5,26,0,20250416-022526,,,,,,,,,,,,,,,,,,
1020,kein_Terminated,Zeit abgelaufen,0.71,43,7878,300.5,26,0,20250416-022547,,,,,,,,,,,,,,,,,,
1021,kein_Terminated,Zeit abgelaufen,0.68,30,7712,300.5,26,5,20250416-022608,,,,,,,,,,,,,,,,,,
1022,kein_Terminated,Zeit abgelaufen,0.67,25,7644,300.5,26,5,20250416-022629,,,,,,,,,,,,,,,,,,
1023,kein_Terminated,Zeit abgelaufen,0.7,30,7984,300.5,26,5,20250416-022649,,,,,,,,,,,,,,,,,,
1024,kein_Terminated,Zeit abgelaufen,0.63,17,7238,300.5,26,4,20250416-022710,,,,,,,,,,,,,,,,,,
1025,kein_Terminated,Zeit abgelaufen,0.7,28,7972,300.5,26,4,20250416-022730,,,,,,,,,,,,,,,,,,
1026,kein_Terminated,Zeit abgelaufen,0.66,71,6982,300.5,26,2,20250416-022751,,,,,,,,,,,,,,,,,,
1027,kein_Terminated,Zeit abgelaufen,0.63,43,6982,300.5,26,2,20250416-022812,,,,,,,,,,,,,,,,,,
1028,kein_Terminated,Zeit abgelaufen,0.73,67,7866,300.5,26,7,20250416-022833,,,,,,,,,,,,,,,,,,
1029,kein_Terminated,Zeit abgelaufen,0.57,31,6986,300.5,8,6,20250416-022849,,,,,,,,,,,,,,,,,,
1030,kein_Terminated,Zeit abgelaufen,0.64,30,7852,300.5,8,6,20250416-022906,,,,,,,,,,,,,,,,,,
1031,kein_Terminated,Zeit abgelaufen,0.64,47,7706,300.5,8,0,20250416-022923,,,,,,,,,,,,,,,,,,
1032,kein_Terminated,Zeit abgelaufen,0.63,77,7326,300.5,8,0,20250416-022939,,,,,,,,,,,,,,,,,,
1033,kein_Terminated,Zeit abgelaufen,0.64,45,7690,300.5,8,8,20250416-022956,,,,,,,,,,,,,,,,,,
1034,kein_Terminated,Zeit abgelaufen,0.66,42,8020,300.5,8,8,20250416-023013,,,,,,,,,,,,,,,,,,
1035,kein_Terminated,Zeit abgelaufen,0.73,41,8990,300.5,8,9,20250416-023029,,,,,,,,,,,,,,,,,,
1036,kein_Terminated,Zeit abgelaufen,0.71,85,7490,300.5,26,7,20250416-023050,,,,,,,,,,,,,,,,,,
1037,kein_Terminated,Zeit abgelaufen,0.69,59,7478,300.5,26,7,20250416-023111,,,,,,,,,,,,,,,,,,
1038,kein_Terminated,Zeit abgelaufen,0.68,23,7738,300.5,26,1,20250416-023132,,,,,,,,,,,,,,,,,,
1039,kein_Terminated,Zeit abgelaufen,0.7,56,7644,300.5,26,1,20250416-023152,,,,,,,,,,,,,,,,,,
1040,kein_Terminated,Zeit abgelaufen,0.67,64,7244,300.5,26,2,20250416-023213,,,,,,,,,,,,,,,,,,
1041,kein_Terminated,Zeit abgelaufen,0.5,54,5288,300.5,26,2,20250416-023234,,,,,,,,,,,,,,,,,,
1042,kein_Terminated,Zeit abgelaufen,0.71,23,8118,300.5,26,2,20250416-023255,,,,,,,,,,,,,,,,,,
1043,kein_Terminated,Zeit abgelaufen,0.71,39,8690,300.5,0,6,20250416-023311,,,,,,,,,,,,,,,,,,
1044,kein_Terminated,Zeit abgelaufen,0.68,21,8514,300.5,0,6,20250416-023328,,,,,,,,,,,,,,,,,,
1045,kein_Terminated,Zeit abgelaufen,0.67,29,8354,300.5,0,4,20250416-023344,,,,,,,,,,,,,,,,,,
1046,kein_Terminated,Zeit abgelaufen,0.68,17,8570,300.5,0,4,20250416-023401,,,,,,,,,,,,,,,,,,
1047,kein_Terminated,Zeit abgelaufen,0.64,5,8146,300.5,0,0,20250416-023417,,,,,,,,,,,,,,,,,,
1048,kein_Terminated,Zeit abgelaufen,0.68,28,8416,300.5,0,0,20250416-023434,,,,,,,,,,,,,,,,,,
1049,kein_Terminated,Zeit abgelaufen,0.63,46,7628,300.5,0,4,20250416-023450,,,,,,,,,,,,,,,,,,
1050,kein_Terminated,Zeit abgelaufen,0.68,46,7528,300.5,26,2,20250416-023511,,,,,,,,,,,,,,,,,,
1051,kein_Terminated,Zeit abgelaufen,0.73,66,7868,300.5,26,2,20250416-023531,,,,,,,,,,,,,,,,,,
1052,kein_Terminated,Zeit abgelaufen,0.71,37,8002,300.5,26,3,20250416-023552,,,,,,,,,,,,,,,,,,
1053,kein_Terminated,Zeit abgelaufen,0.7,34,7864,300.5,26,3,20250416-023613,,,,,,,,,,,,,,,,,,
1054,kein_Terminated,Zeit abgelaufen,0.73,71,7910,300.5,26,1,20250416-023633,,,,,,,,,,,,,,,,,,
1055,kein_Terminated,Zeit abgelaufen,0.67,28,7584,300.5,26,1,20250416-023654,,,,,,,,,,,,,,,,,,
1056,kein_Terminated,Zeit abgelaufen,0.72,18,8268,300.5,26,6,20250416-023714,,,,,,,,,,,,,,,,,,
1057,kein_Terminated,Zeit abgelaufen,0.61,67,7178,300.5,5,8,20250416-023731,,,,,,,,,,,,,,,,,,
1058,kein_Terminated,Zeit abgelaufen,0.7,80,8268,300.5,5,8,20250416-023747,,,,,,,,,,,,,,,,,,
1059,kein_Terminated,Zeit abgelaufen,0.69,27,8674,300.5,5,4,20250416-023804,,,,,,,,,,,,,,,,,,
1060,kein_Terminated,Zeit abgelaufen,0.57,26,7064,300.5,5,4,20250416-023820,,,,,,,,,,,,,,,,,,
1061,kein_Terminated,Zeit abgelaufen,0.53,48,6372,300.5,5,6,20250416-023836,,,,,,,,,,,,,,,,,,
1062,kein_Terminated,Zeit abgelaufen,0.7,49,8626,300.5,5,6,20250416-023852,,,,,,,,,,,,,,,,,,
1063,kein_Terminated,Zeit abgelaufen,0.69,27,8610,300.5,5,6,20250416-023909,,,,,,,,,,,,,,,,,,
1064,kein_Terminated,Zeit abgelaufen,0.67,29,8390,300.5,5,9,20250416-023925,,,,,,,,,,,,,,,,,,
1065,kein_Terminated,Zeit abgelaufen,0.73,33,9198,300.5,5,9,20250416-023941,,,,,,,,,,,,,,,,,,
1066,kein_Terminated,Zeit abgelaufen,0.71,23,9054,300.5,5,5,20250416-023957,,,,,,,,,,,,,,,,,,
1067,kein_Terminated,Zeit abgelaufen,0.69,22,8708,300.5,5,5,20250416-024013,,,,,,,,,,,,,,,,,,
1068,kein_Terminated,Zeit abgelaufen,0.65,21,8270,300.5,5,7,20250416-024030,,,,,,,,,,,,,,,,,,
1069,kein_Terminated,Zeit abgelaufen,0.67,32,8420,300.5,5,7,20250416-024046,,,,,,,,,,,,,,,,,,
1070,kein_Terminated,Zeit abgelaufen,0.62,17,7810,300.5,5,0,20250416-024102,,,,,,,,,,,,,,,,,,
1071,kein_Terminated,Zeit abgelaufen,0.66,18,8244,300.5,0,9,20250416-024118,,,,,,,,,,,,,,,,,,
1072,kein_Terminated,Zeit abgelaufen,0.7,29,8734,300.5,0,9,20250416-024135,,,,,,,,,,,,,,,,,,
1073,kein_Terminated,Zeit abgelaufen,0.69,22,8608,300.5,0,5,20250416-024151,,,,,,,,,,,,,,,,,,
1074,kein_Terminated,Zeit abgelaufen,0.67,32,8252,300.5,0,5,20250416-024208,,,,,,,,,,,,,,,,,,
1075,kein_Terminated,Zeit abgelaufen,0.68,33,8402,300.5,0,9,20250416-024224,,,,,,,,,,,,,,,,,,
1076,kein_Terminated,Zeit abgelaufen,0.66,24,8224,300.5,0,9,20250416-024240,,,,,,,,,,,,,,,,,,
1077,kein_Terminated,Zeit abgelaufen,0.66,28,8216,300.5,0,7,20250416-024257,,,,,,,,,,,,,,,,,,
1078,kein_Terminated,Zeit abgelaufen,0.69,44,7716,300.5,26,1,20250416-024317,,,,,,,,,,,,,,,,,,
1079,kein_Terminated,Zeit abgelaufen,0.73,49,8054,300.5,26,1,20250416-024338,,,,,,,,,,,,,,,,,,
13,kein_Terminated,Zeit abgelaufen,0.14,41,1262,300.5,5,6,20250416-024406,,,,,,,,,,,,,,,,,,
1080,kein_Terminated,Zeit abgelaufen,0.65,34,7252,300.5,26,5,20250416-024411,,,,,,,,,,,,,,,,,,
1081,kein_Terminated,Zeit abgelaufen,0.65,28,7328,300.5,26,5,20250416-024431,,,,,,,,,,,,,,,,,,
1082,kein_Terminated,Zeit abgelaufen,0.67,47,7394,300.5,26,2,20250416-024452,,,,,,,,,,,,,,,,,,
1083,kein_Terminated,Zeit abgelaufen,0.72,49,8006,300.5,26,2,20250416-024513,,,,,,,,,,,,,,,,,,
1084,kein_Terminated,Zeit abgelaufen,0.58,34,6508,300.5,26,1,20250416-024533,,,,,,,,,,,,,,,,,,
1085,kein_Terminated,Zeit abgelaufen,0.67,72,7728,300.5,15,1,20250416-024550,,,,,,,,,,,,,,,,,,
1086,kein_Terminated,Zeit abgelaufen,0.62,65,7166,300.5,15,1,20250416-024608,,,,,,,,,,,,,,,,,,
1087,kein_Terminated,Zeit abgelaufen,0.65,62,7500,300.5,15,8,20250416-024625,,,,,,,,,,,,,,,,,,
1088,kein_Terminated,Zeit abgelaufen,0.73,77,8374,300.5,15,8,20250416-024642,,,,,,,,,,,,,,,,,,
1089,kein_Terminated,Zeit abgelaufen,0.42,64,4628,300.5,15,6,20250416-024659,,,,,,,,,,,,,,,,,,
1090,kein_Terminated,Zeit abgelaufen,0.48,54,5540,300.5,15,6,20250416-024717,,,,,,,,,,,,,,,,,,
1091,kein_Terminated,Zeit abgelaufen,0.59,88,6468,300.5,15,9,20250416-024733,,,,,,,,,,,,,,,,,,
1092,kein_Terminated,Zeit abgelaufen,0.69,26,8740,300.5,5,5,20250416-024750,,,,,,,,,,,,,,,,,,
1093,kein_Terminated,Zeit abgelaufen,0.67,18,8556,300.5,5,5,20250416-024806,,,,,,,,,,,,,,,,,,
1094,kein_Terminated,Zeit abgelaufen,0.64,21,8046,300.5,5,2,20250416-024822,,,,,,,,,,,,,,,,,,
1095,kein_Terminated,Zeit abgelaufen,0.67,41,8330,300.5,5,2,20250416-024839,,,,,,,,,,,,,,,,,,
1096,kein_Terminated,Zeit abgelaufen,0.59,8,7596,300.5,5,0,20250416-024855,,,,,,,,,,,,,,,,,,
1097,kein_Terminated,Zeit abgelaufen,0.58,9,7430,300.5,5,0,20250416-024911,,,,,,,,,,,,,,,,,,
1098,kein_Terminated,Zeit abgelaufen,0.7,49,8574,300.5,5,6,20250416-024927,,,,,,,,,,,,,,,,,,
1099,kein_Terminated,Zeit abgelaufen,0.65,23,8062,300.5,0,2,20250416-024944,,,,,,,,,,,,,,,,,,
1100,kein_Terminated,Zeit abgelaufen,0.65,32,8060,300.5,0,2,20250416-025000,,,,,,,,,,,,,,,,,,
1101,kein_Terminated,Zeit abgelaufen,0.63,26,7836,300.5,0,0,20250416-025017,,,,,,,,,,,,,,,,,,
1102,kein_Terminated,Zeit abgelaufen,0.68,26,8520,300.5,0,0,20250416-025033,,,,,,,,,,,,,,,,,,
1103,kein_Terminated,Zeit abgelaufen,0.65,22,8184,300.5,0,7,20250416-025050,,,,,,,,,,,,,,,,,,
1104,kein_Terminated,Zeit abgelaufen,0.68,39,8306,300.5,0,7,20250416-025106,,,,,,,,,,,,,,,,,,
1105,kein_Terminated,Zeit abgelaufen,0.67,37,8302,300.5,0,2,20250416-025123,,,,,,,,,,,,,,,,,,
1106,kein_Terminated,Zeit abgelaufen,0.7,53,8374,300.5,8,1,20250416-025139,,,,,,,,,,,,,,,,,,
1107,kein_Terminated,Zeit abgelaufen,0.63,58,7408,300.5,8,1,20250416-025156,,,,,,,,,,,,,,,,,,
1108,kein_Terminated,Zeit abgelaufen,0.67,40,8204,300.5,8,3,20250416-025213,,,,,,,,,,,,,,,,,,
1109,kein_Terminated,Zeit abgelaufen,0.52,89,5698,300.5,8,3,20250416-025229,,,,,,,,,,,,,,,,,,
1110,kein_Terminated,Zeit abgelaufen,0.56,70,6488,300.5,8,1,20250416-025246,,,,,,,,,,,,,,,,,,
1111,kein_Terminated,Zeit abgelaufen,0.65,55,7742,300.5,8,1,20250416-025303,,,,,,,,,,,,,,,,,,
1112,kein_Terminated,Zeit abgelaufen,0.71,33,8762,300.5,8,4,20250416-025319,,,,,,,,,,,,,,,,,,
1113,kein_Terminated,Zeit abgelaufen,0.7,21,8882,300.5,5,5,20250416-025336,,,,,,,,,,,,,,,,,,
1114,kein_Terminated,Zeit abgelaufen,0.65,37,8022,300.5,5,5,20250416-025352,,,,,,,,,,,,,,,,,,
1115,kein_Terminated,Zeit abgelaufen,0.7,35,8686,300.5,5,8,20250416-025408,,,,,,,,,,,,,,,,,,
1116,kein_Terminated,Zeit abgelaufen,0.79,55,9738,300.5,5,8,20250416-025425,,,,,,,,,,,,,,,,,,
1117,kein_Terminated,Zeit abgelaufen,0.65,28,8144,300.5,5,4,20250416-025441,,,,,,,,,,,,,,,,,,
1118,kein_Terminated,Zeit abgelaufen,0.74,55,9010,300.5,5,4,20250416-025457,,,,,,,,,,,,,,,,,,
1119,kein_Terminated,Zeit abgelaufen,0.69,47,8458,300.5,5,1,20250416-025513,,,,,,,,,,,,,,,,,,
1120,kein_Terminated,Zeit abgelaufen,0.67,23,8350,300.5,0,7,20250416-025530,,,,,,,,,,,,,,,,,,
1121,kein_Terminated,Zeit abgelaufen,0.62,34,7668,300.5,0,7,20250416-025546,,,,,,,,,,,,,,,,,,
1122,kein_Terminated,Zeit abgelaufen,0.69,30,8552,300.5,0,3,20250416-025603,,,,,,,,,,,,,,,,,,
1123,kein_Terminated,Zeit abgelaufen,0.66,28,8140,300.5,0,3,20250416-025619,,,,,,,,,,,,,,,,,,
1124,kein_Terminated,Zeit abgelaufen,0.58,28,7216,300.5,0,7,20250416-025635,,,,,,,,,,,,,,,,,,
1125,kein_Terminated,Zeit abgelaufen,0.67,27,8382,300.5,0,7,20250416-025652,,,,,,,,,,,,,,,,,,
1126,kein_Terminated,Zeit abgelaufen,0.64,23,7978,300.5,0,7,20250416-025708,,,,,,,,,,,,,,,,,,
1127,kein_Terminated,Zeit abgelaufen,0.68,25,7722,300.5,26,1,20250416-025729,,,,,,,,,,,,,,,,,,
1128,kein_Terminated,Zeit abgelaufen,0.74,39,8310,300.5,26,1,20250416-025749,,,,,,,,,,,,,,,,,,
1129,kein_Terminated,Zeit abgelaufen,0.74,36,8280,300.5,26,3,20250416-025810,,,,,,,,,,,,,,,,,,
1130,kein_Terminated,Zeit abgelaufen,0.69,35,7806,300.5,26,3,20250416-025831,,,,,,,,,,,,,,,,,,
1131,kein_Terminated,Zeit abgelaufen,0.71,34,8040,300.5,26,2,20250416-025851,,,,,,,,,,,,,,,,,,
1132,kein_Terminated,Zeit abgelaufen,0.73,51,8070,300.5,26,2,20250416-025912,,,,,,,,,,,,,,,,,,
1133,kein_Terminated,Zeit abgelaufen,0.75,34,8440,300.5,26,3,20250416-025933,,,,,,,,,,,,,,,,,,
1134,kein_Terminated,Zeit abgelaufen,0.74,29,9122,300.5,8,6,20250416-025949,,,,,,,,,,,,,,,,,,
1135,kein_Terminated,Zeit abgelaufen,0.72,61,8642,300.5,8,6,20250416-030006,,,,,,,,,,,,,,,,,,
1136,kein_Terminated,Zeit abgelaufen,0.59,38,7084,300.5,8,5,20250416-030023,,,,,,,,,,,,,,,,,,
1137,kein_Terminated,Zeit abgelaufen,0.61,42,7392,300.5,8,5,20250416-030039,,,,,,,,,,,,,,,,,,
1138,kein_Terminated,Zeit abgelaufen,0.63,62,7376,300.5,8,7,20250416-030056,,,,,,,,,,,,,,,,,,
1139,kein_Terminated,Zeit abgelaufen,0.73,23,9062,300.5,8,7,20250416-030113,,,,,,,,,,,,,,,,,,
1140,kein_Terminated,Zeit abgelaufen,0.61,45,7322,300.5,8,8,20250416-030129,,,,,,,,,,,,,,,,,,
1141,kein_Terminated,Zeit abgelaufen,0.7,49,7770,300.5,26,8,20250416-030150,,,,,,,,,,,,,,,,,,
1142,kein_Terminated,Zeit abgelaufen,0.68,69,7230,300.5,26,8,20250416-030211,,,,,,,,,,,,,,,,,,
1143,kein_Terminated,Zeit abgelaufen,0.65,33,7302,300.5,26,5,20250416-030231,,,,,,,,,,,,,,,,,,
1144,kein_Terminated,Zeit abgelaufen,0.64,23,7274,300.5,26,5,20250416-030252,,,,,,,,,,,,,,,,,,
1145,kein_Terminated,Zeit abgelaufen,0.72,39,8110,300.5,26,6,20250416-030312,,,,,,,,,,,,,,,,,,
1146,kein_Terminated,Zeit abgelaufen,0.73,39,8206,300.5,26,6,20250416-030333,,,,,,,,,,,,,,,,,,
1147,kein_Terminated,Zeit abgelaufen,0.72,59,7884,300.5,26,7,20250416-030354,,,,,,,,,,,,,,,,,,
1148,kein_Terminated,Zeit abgelaufen,0.46,62,5252,300.5,8,1,20250416-030410,,,,,,,,,,,,,,,,,,
1149,kein_Terminated,Zeit abgelaufen,0.58,75,6682,300.5,8,1,20250416-030427,,,,,,,,,,,,,,,,,,
1150,kein_Terminated,Zeit abgelaufen,0.75,53,9062,300.5,8,3,20250416-030444,,,,,,,,,,,,,,,,,,
1151,kein_Terminated,Zeit abgelaufen,0.75,63,8968,300.5,8,3,20250416-030500,,,,,,,,,,,,,,,,,,
1152,kein_Terminated,Zeit abgelaufen,0.63,20,7872,300.5,8,8,20250416-030517,,,,,,,,,,,,,,,,,,
1153,kein_Terminated,Zeit abgelaufen,0.61,35,7430,300.5,8,8,20250416-030533,,,,,,,,,,,,,,,,,,
1154,kein_Terminated,Zeit abgelaufen,0.7,44,8540,300.5,8,3,20250416-030550,,,,,,,,,,,,,,,,,,
1155,kein_Terminated,Zeit abgelaufen,0.76,26,9468,300.5,0,5,20250416-030606,,,,,,,,,,,,,,,,,,
1156,kein_Terminated,Zeit abgelaufen,0.69,22,8664,300.5,0,5,20250416-030623,,,,,,,,,,,,,,,,,,
1157,kein_Terminated,Zeit abgelaufen,0.64,23,7974,300.5,0,1,20250416-030639,,,,,,,,,,,,,,,,,,
1158,kein_Terminated,Zeit abgelaufen,0.68,21,8490,300.5,0,1,20250416-030656,,,,,,,,,,,,,,,,,,
1159,kein_Terminated,Zeit abgelaufen,0.73,14,9284,300.5,0,5,20250416-030712,,,,,,,,,,,,,,,,,,
1160,kein_Terminated,Zeit abgelaufen,0.72,19,9062,300.5,0,5,20250416-030728,,,,,,,,,,,,,,,,,,
1161,kein_Terminated,Zeit abgelaufen,0.73,31,9050,300.5,0,9,20250416-030745,,,,,,,,,,,,,,,,,,
1162,kein_Terminated,Zeit abgelaufen,0.68,33,8462,300.5,0,0,20250416-030801,,,,,,,,,,,,,,,,,,
14,kein_Terminated,Zeit abgelaufen,0.1,530,-4104,300.5,5,3,20250416-030828,,,,,,,,,,,,,,,,,,
1163,kein_Terminated,Zeit abgelaufen,0.66,9,8374,300.5,0,0,20250416-030831,,,,,,,,,,,,,,,,,,
1164,kein_Terminated,Zeit abgelaufen,0.67,51,8138,300.5,0,2,20250416-030848,,,,,,,,,,,,,,,,,,
1165,kein_Terminated,Zeit abgelaufen,0.72,37,8910,300.5,0,2,20250416-030904,,,,,,,,,,,,,,,,,,
1166,kein_Terminated,Zeit abgelaufen,0.64,16,8100,300.5,0,0,20250416-030921,,,,,,,,,,,,,,,,,,
1167,kein_Terminated,Zeit abgelaufen,0.69,16,8700,300.5,0,0,20250416-030937,,,,,,,,,,,,,,,,,,
1168,kein_Terminated,Zeit abgelaufen,0.68,36,8332,300.5,0,7,20250416-030953,,,,,,,,,,,,,,,,,,
1169,kein_Terminated,Zeit abgelaufen,0.65,24,8068,300.5,0,0,20250416-031010,,,,,,,,,,,,,,,,,,
1170,kein_Terminated,Zeit abgelaufen,0.65,18,8128,300.5,0,0,20250416-031026,,,,,,,,,,,,,,,,,,
1171,kein_Terminated,Zeit abgelaufen,0.67,36,8304,300.5,0,8,20250416-031042,,,,,,,,,,,,,,,,,,
1172,kein_Terminated,Zeit abgelaufen,0.69,46,8404,300.5,0,8,20250416-031059,,,,,,,,,,,,,,,,,,
